,title,director,actor1,actor2,actor3,genres
50,beyond skyline,Liam O'Donnell , Frank Grillo, Bojana Novakovic, Callan Mulvey,Action  Science Fiction  Adventure  Horror
51,jumanji: welcome to the jungle,Jake Kasdan , Dwayne Johnson, Kevin Hart, Jack Black,Action  Adventure  Comedy  Fantasy
52,the greatest showman,Michael Gracey , Hugh Jackman, Zac Efron, Rebecca Ferguson,Drama
53,pitch perfect 3,Trish Sie , Anna Kendrick, Anna Camp, Rebel Wilson,Comedy  Music
54,downsizing,Alexander Payne , Matt Damon, Christoph Waltz, Hong Chau,Comedy  Drama  Science Fiction
55,father figures,Lawrence Sher , Owen Wilson, Ed Helms, J. K. Simmons,Comedy
56,the post,Steven Spielberg , Tom Hanks, Meryl Streep, Bruce Greenwood,Drama  History
57,bright,David Ayer , Will Smith, Joel Edgerton, Noomi Rapace,Action  Fantasy  Thriller
58,crooked house,Gilles Paquet-Brenner , Max Irons, Glenn Close, Gillian Anderson,Drama  Mystery  Crime  TV Movie
59,hostiles,Scott Cooper , Christian Bale, Rosamund Pike, Wes Studi,Western  Drama  History
60,all the money in the world,Ridley Scott , Michelle Williams, Mark Wahlberg, Christopher Plummer,Thriller  Drama  Crime  Mystery  History
61,molly's game,Aaron Sorkin , Jessica Chastain, Idris Elba, Kevin Costner,Crime  Drama
62,phantom thread,Paul Thomas Anderson , Daniel Day-Lewis, Lesley Manville, Richard Graham,Drama  Romance
0,insidious: the last key,Adam Robitel , Lin Shaye, Angus Sampson, Leigh Whannell,Horror  Mystery  Thriller
1,the strange ones,Lauren Wolkstein , Alex Pettyfer, James Freedson-Jackson, Emily Althaus,Thriller  Drama
2,stratton,Simon West , Dominic Cooper, Austin Stowell, Gemma Chan,Action  Thriller
3,sweet country,Warwick Thornton , Bryan Brown, Sam Neill,unknown,Drama  History  Western
4,the commuter,Jaume Collet-Serra , Liam Neeson, Vera Farmiga, Patrick Wilson,Action  Thriller
5,proud mary,Babak Najafi , Taraji P. Henson, Billy Brown, Danny Glover,Thriller  Action  Crime
6,acts of violence,Brett Donowho , Bruce Willis, Cole Hauser, Shawn Ashmore,Action
7,freak show,Trudie Styler , Alex Lawther, Abigail Breslin, Bette Midler,Comedy  Drama
8,humor me,Sam Hoffman , Jemaine Clement, Elliott Gould, Ingrid Michaelson,Comedy
9,vazante,Daniela Thomas , Adriano Carvalho, Luana Nastas,unknown,Drama
10,mary and the witch's flower,Hiromasa Yonebayashi , Ruby Barnhill, Louis Ashbourne Serkis, Kate Winslet,Fantasy  Adventure  Animation
11,12 strong,Nicolai Fuglsig , Chris Hemsworth, Michael Shannon, Michael Peña,War  Drama  Action  History
12,den of thieves,Christian Gudegast , Gerard Butler, 50 Cent, Pablo Schreiber,Action  Thriller  Crime
13,forever my girl,Bethany Ashton Wolf , Alex Roe, Jessica Rothe, John Benjamin Hickey,Romance  Drama  Music
14,maze runner: the death cure,Wes Ball , Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster,Science Fiction  Action
15,the insult,Ziad Doueiri , Adel Karam, Camille Salameh, Kamel El Basha,Comedy  Crime
16,please stand by,Ben Lewin , Dakota Fanning, Toni Collette, Alice Eve,Comedy  Drama
17,winchester,The Spierig Brothers , Helen Mirren, Jason Clarke, Sarah Snook,Thriller  Horror
18,a fantastic woman,Sebastián Lelio , Daniela Vega, Francisco Reyes,unknown,Drama
19,armed,Mario Van Peebles , Mario Van Peebles, William Fichtner, Ryan Guzman,Action  Horror  Thriller
20,the cloverfield paradox,Julius Onah , Daniel Brühl, Elizabeth Debicki, Aksel Hennie,Action  Science Fiction  Thriller  Horror
21,bad apples,Bryan Coyne , Brea Grant, Graham Skipper, Aly Fitzgerald,Horror
22,peter rabbit,Will Gluck , James Corden, Domhnall Gleeson, Rose Byrne,Animation  Adventure  Family
23,fifty shades freed,James Foley , Dakota Johnson, Jamie Dornan, Kim Basinger,Drama  Romance
24,the 15:17 to paris,Clint Eastwood , Anthony Sadler, Alek Skarlatos, Spencer Stone,History  Drama  Thriller
25,la boda de valentina,Marco Polo Constandse , Omar Chaparro, Marimar Vega, Ryan Carnes,Comedy
26,kri,Surendra Poudel , Anmol K.C., Aditi Budhathoki, Anoop Bikram Shahi,
27,permission,Brian Crano , Rebecca Hall, Dan Stevens, Morgan Spector,Comedy  Romance  Drama
28,monster family,Holger Tappe , Emily Watson, Jason Isaacs, Nick Frost,
29,golden exits,Alex Ross Perry , Emily Browning, Adam Horowitz, Mary-Louise Parker,Drama
30,black panther,unknown, Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o,Action  Adventure  Science Fiction
31,early man,Nick Park , Eddie Redmayne, Tom Hiddleston, Maisie Williams,Family  Comedy  Animation  Adventure
32,loveless,Andrey Zvyagintsev , Maryana Spivak, Alexei Rozin, Matvey Novikov,Comedy  Romance
33,the party,Sally Potter , Timothy Spall, Kristin Scott Thomas, Patricia Clarkson,Comedy
34,nostalgia,Mark Pellington , Jon Hamm, Nick Offerman, Amber Tamblyn,Drama
35,black '47,Lance Daly , Hugo Weaving, Jim Broadbent, Stephen Rea,Drama  Western
36,samson,Bruce Macdonald , Taylor James, Jackson Rathbone, Billy Zane,Action  Drama  Adventure
37,game night,"Jonathan Goldstein, John Francis Daley ", Jason Bateman, Rachel McAdams, Kyle Chandler,Mystery  Comedy  Crime
38,annihilation,Alex Garland , Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez,Action  Science Fiction  Horror  Mystery
39,every day,Michael Sucsy , Angourie Rice, Maria Bello, Debby Ryan,Drama  Fantasy  Romance
40,the cured,David Freyne , Ellen Page, Sam Keeley, Tom Vaughan-Lawlor,Horror  Drama  Science Fiction
41,the lodgers,Brian O'Malley , Charlotte Vega, Bill Milner, Eugene Simon,Drama  Horror  Romance  Thriller
42,red sparrow,Francis Lawrence , Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts,Mystery  Thriller
43,death wish,Eli Roth , Bruce Willis, Vincent D'Onofrio, Dean Norris,Action  Crime  Drama  Thriller
44,the vanishing of sidney hall,Shawn Christensen , Logan Lerman, Elle Fanning, Michelle Monaghan,Drama  Mystery
45,foxtrot,Samuel Maoz , Lior Ashkenazi, Sarah Adler, Yonatan Shiray,Comedy  Drama  War
46,pickings,Usher Morgan , Elyse Price, Joel Bernard, Katie Vincent,Action  Crime  Thriller  Drama  Mystery
47,a wrinkle in time,Ava DuVernay , Storm Reid, Oprah Winfrey, Reese Witherspoon,Adventure  Science Fiction  Family  Fantasy
48,gringo,Nash Edgerton , David Oyelowo, Charlize Theron, Joel Edgerton,Comedy  Action
49,thoroughbreds,Cory Finley , Olivia Cooke, Anya Taylor-Joy, Anton Yelchin,Drama  Thriller
50,the death of stalin,Armando Iannucci , Steve Buscemi, Simon Russell Beale, Paddy Considine,Comedy  Drama  History
51,the leisure seeker,Paolo Virzì , Donald Sutherland, Helen Mirren,unknown,Drama  Romance  Adventure
52,the strangers: prey at night,Johannes Roberts , Christina Hendricks, Martin Henderson, Bailee Madison,Horror  Thriller
53,the hurricane heist,Rob Cohen , Toby Kebbell, Maggie Grace, Ryan Kwanten,Action  Crime  Thriller
54,tomb raider,Roar Uthaug , Alicia Vikander, Dominic West, Walton Goggins,Action  Adventure  Fantasy
55,"love, simon",Greg Berlanti , Nick Robinson, Katherine Langford, Alexandra Shipp,Comedy  Drama  Romance
56,i can only imagine,Jon Erwin , Cloris Leachman, Dennis Quaid, Priscilla Shirer,Music  Drama
57,7 days in entebbe,José Padilha , Rosamund Pike, Daniel Brühl, Vincent Cassel,Thriller  Drama  Crime
58,furlough,Laurie Collyer , Melissa Leo, Tessa Thompson, La La Anthony,Comedy
59,josie,Eric England , Sophie Turner, Dylan McDermott, Jack Kilmer,Comedy  Music
60,flower,Max Winkler , Zoey Deutch, Kathryn Hahn, Tim Heidecker,Drama  Comedy
61,pacific rim: uprising,Steven S. DeKnight , John Boyega, Scott Eastwood, Cailee Spaeny,Action  Fantasy  Science Fiction  Adventure
62,isle of dogs,Wes Anderson , Bryan Cranston, Edward Norton, Bill Murray,Adventure  Comedy  Animation
63,sherlock gnomes,John Stevenson , James McAvoy, Emily Blunt, Johnny Depp,Animation  Family  Fantasy  Comedy  Adventure  Mystery
64,unsane,Steven Soderbergh , Claire Foy, Joshua Leonard, Jay Pharoah,Horror  Thriller
65,"paul, apostle of christ",Andrew Hyatt , James Faulkner, Jim Caviezel, Olivier Martinez,History  Drama
66,final portrait,Stanley Tucci , Geoffrey Rush, Armie Hammer, Clémence Poésy,Drama  History
67,midnight sun,Scott Speer , Bella Thorne, Patrick Schwarzenegger, Rob Riggle,Romance  Drama
68,followers,Ryan Justice , Amanda Delaney, Justin Maina, Sean Michael Gloria,Thriller
69,ready player one,Steven Spielberg , Tye Sheridan, Olivia Cooke, Ben Mendelsohn,Science Fiction  Adventure  Action
70,tyler perry's acrimony,Tyler Perry , Taraji P. Henson, Lyriq Bent, Tika Sumpter,Thriller
71,god's not dead: a light in darkness,Michael Mason , David A. R. White, John Corbett, Shane Harper,Drama
72,gemini,Aaron Katz , Lola Kirke, Zoë Kravitz, Greta Lee,Science Fiction  Action  Drama  Thriller
73,the last movie star,Adam Rifkin , Burt Reynolds, Ariel Winter, Clark Duke,Drama
0,a quiet place,John Krasinski , John Krasinski, Emily Blunt, Millicent Simmonds,Horror  Drama  Science Fiction
1,blockers,Kay Cannon , Leslie Mann, Ike Barinholtz, John Cena,Comedy
2,you were never really here,Lynne Ramsay , Joaquin Phoenix, Ekaterina Samsonov, Alex Manette,Thriller  Drama
3,chappaquiddick,John Curran , Jason Clarke, Kate Mara, Ed Helms,Drama  Thriller  History
4,pandas,"Drew Fellman, David Douglas ", Kristen Bell,unknown,unknown,Documentary
5,lean on pete,Andrew Haigh , Charlie Plummer, Chloë Sevigny, Travis Fimmel,Drama  Adventure
6,the miracle season,Sean McNamara , Helen Hunt, William Hurt, Erin Moriarty,Drama
7,beirut,Brad Anderson , Jon Hamm, Rosamund Pike, Dean Norris,Action  Thriller  Drama
8,rampage,Brad Peyton , Dwayne Johnson, Naomie Harris, Malin Åkerman,Action
9,truth or dare,Jeff Wadlow , Lucy Hale, Tyler Posey, Violett Beane,Thriller  Horror
10,the rider,Chloé Zhao , Brady Jandreau,unknown,unknown,Drama  Western
11,sgt. stubby: an american hero,Richard Lanni , Logan Lerman, Helena Bonham Carter, Gérard Depardieu,Animation  Adventure  Family  History  War
12,i feel pretty,"Abby Kohn, Marc Silverstein ", Amy Schumer, Michelle Williams, Emily Ratajkowski,Comedy  Romance
13,super troopers 2,Jay Chandrasekhar , Jay Chandrasekhar, Paul Soter, Steve Lemme,Comedy  Crime  Mystery
14,traffik,Deon Taylor , Paula Patton, Omar Epps, Missi Pyle,Thriller  Horror
15,the house of tomorrow,Peter Livolsi , Asa Butterfield, Nick Offerman, Ellen Burstyn,Drama
16,liz and the blue bird,Naoko Yamada , Atsumi Tanezaki, Nao Tōyama,unknown,Animation  Drama  Music
17,avengers: infinity war,Anthony Russo and Joe Russo , Robert Downey Jr., Chris Hemsworth, Mark Ruffalo,Adventure  Action  Science Fiction
18,disobedience,Sebastián Lelio , Rachel Weisz, Rachel McAdams, Alessandro Nivola,Drama  Romance
19,backstabbing for beginners,Per Fly , Ben Kingsley, Theo James, Jacqueline Bisset,Thriller  Drama  History
20,kings,Deniz Gamze Ergüven , Halle Berry, Daniel Craig,unknown,Adventure  Drama  Action
21,overboard,unknown, Anna Faris, Eugenio Derbez, Eva Longoria,Romance  Comedy
22,tully,Jason Reitman , Charlize Theron, Mackenzie Davis, Mark Duplass,Drama
23,bad samaritan,Dean Devlin , David Tennant, Robert Sheehan, Carlito Olivero,Thriller  Crime  Horror
24,the cleanse,Bobby Miller , Johnny Galecki, Anna Friel, Oliver Platt,Drama  Comedy  Fantasy
25,the guardians,Xavier Beauvois , Nathalie Baye,unknown,unknown,Family  Animation  Fantasy  Action  Adventure
26,life of the party,Ben Falcone , Melissa McCarthy, Maya Rudolph, Molly Gordon,Comedy
27,breaking in,James McTeigue , Gabrielle Union, Billy Burke, Richard Cabral,Thriller  Crime  Action  Horror
28,the seagull,Michael Mayer , Saoirse Ronan, Annette Bening, Corey Stoll,Drama  Romance  Comedy
29,terminal,Vaughn Stein , Margot Robbie, Simon Pegg, Dexter Fletcher,Comedy  Drama
30,revenge,Coralie Fargeat , Matilda Lutz, Kevin Janssens, Vincent Colombe,Fantasy  Action  Adventure  Animation
31,deadpool 2,David Leitch , Ryan Reynolds, Josh Brolin, Zazie Beetz,Action  Comedy  Adventure
32,book club,Bill Holderman , Jane Fonda, Candice Bergen, Mary Steenburgen,Comedy  Romance  Drama
33,first reformed,Paul Schrader , Ethan Hawke, Amanda Seyfried, Cedric Kyles,Drama
34,pope francis: a man of his word,Wim Wenders , Pope Francis,unknown,unknown,Documentary
35,show dogs,Raja Gosnell , Will Arnett, Natasha Lyonne, Ludacris,Adventure  Crime  Family  Comedy
36,solo: a star wars story,Ron Howard , Alden Ehrenreich, Woody Harrelson, Emilia Clarke,Science Fiction  Adventure
37,how to talk to girls at parties,John Cameron Mitchell , Elle Fanning, Alex Sharp, Nicole Kidman,Comedy  Music  Romance  Science Fiction
38,in darkness,Anthony Byrne , Natalie Dormer, Emily Ratajkowski, Ed Skrein,Thriller  Mystery
39,the misandrists,Bruce LaBruce , Susanne Sachße, Viva Ruiz, Kembra Pfahler,Drama
40,future world,"James Franco, Bruce Thierry Cheung ", James Franco, Suki Waterhouse, Jeffrey Wahlberg,Science Fiction
41,action point,Tim Kirkby , Johnny Knoxville, Chris Pontius,unknown,Comedy  Drama
42,adrift,Baltasar Kormákur , Shailene Woodley, Sam Claflin,unknown,Thriller  Romance  Adventure
43,upgrade,Leigh Whannell , Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson,Action  Thriller  Science Fiction
44,american animals,Bart Layton , Evan Peters, Barry Keoghan, Blake Jenner,Drama  Crime  Documentary
45,social animals,Theresa Bennett , Noël Wells, Josh Radnor, Aya Cash,Comedy  Romance
46,ocean's 8,Gary Ross , Sandra Bullock, Cate Blanchett, Anne Hathaway,Crime  Comedy  Action  Thriller
47,won't you be my neighbor?,Morgan Neville , Fred Rogers,unknown,unknown,Documentary
48,hereditary,Ari Aster , Toni Collette, Alex Wolff, Milly Shapiro,Horror  Mystery  Thriller
49,hotel artemis,Drew Pearce , Jodie Foster, Sterling K. Brown, Sofia Boutella,Thriller  Science Fiction  Action
50,superfly,Director X , Trevor Jackson, Jason Mitchell, Michael K. Williams,Action  Crime
51,incredibles 2,Brad Bird , Craig T. Nelson, Holly Hunter, Sarah Vowell,Action  Adventure  Animation  Family
52,tag,Jeff Tomsic , Ed Helms, Jeremy Renner, Jon Hamm,Comedy  Drama
53,on chesil beach,Dominic Cooke , Saoirse Ronan, Billy Howle, Emily Watson,Drama  Romance
54,gotti,Kevin Connolly , John Travolta, Kelly Preston, Stacy Keach,Crime  Drama  History  Thriller
55,jurassic world: fallen kingdom,J.A. Bayona , Chris Pratt, Bryce Dallas Howard, Rafe Spall,Action  Adventure  Science Fiction
56,boundaries,Shana Feste , Vera Farmiga, Christopher Plummer, Lewis MacDougall,Comedy  Drama
57,damsel,unknown, Robert Pattinson, Mia Wasikowska,unknown,Comedy  Western
58,the domestics,Mike P. Nelson , Tyler Hoechlin, Kate Bosworth, Lance Reddick,Thriller  Horror
59,sicario: day of the soldado,Stefano Sollima , Benicio del Toro, Josh Brolin, Isabela Moner,Action  Crime  Drama  Thriller
60,leave no trace,Debra Granik , Ben Foster, Thomasin McKenzie, Jeff Kober,Drama
61,uncle drew,Charles Stone III , Kyrie Irving, Lil Rel Howery, Shaquille O'Neal,Comedy
62,woman walks ahead,Susanna White , Jessica Chastain, Michael Greyeyes, Chaske Spencer,Drama  History  Western
0,the first purge,Gerard McMurray , Y'lan Noel, Lex Scott Davis, Joivan Wade,Action  Science Fiction  Thriller  Horror  Crime
1,ant-man and the wasp,Peyton Reed , Paul Rudd, Evangeline Lilly, Michael Peña,Action  Adventure  Science Fiction
2,sorry to bother you,Boots Riley , Lakeith Stanfield, Tessa Thompson, Armie Hammer,Fantasy  Science Fiction  Comedy
3,whitney,Kevin MacDonald , Whitney Houston,unknown,unknown,Documentary
4,hotel transylvania 3: summer vacation,Genndy Tartakovsky , Adam Sandler, Andy Samberg, Selena Gomez,Family  Fantasy  Comedy  Animation
5,skyscraper,Rawson Marshall Thurber , Dwayne Johnson, Neve Campbell, Chin Han,Action
6,eighth grade,Bo Burnham , Elsie Fisher, Josh Hamilton, Emily Robinson,Comedy  Drama
7,"don't worry, he won't get far on foot",Gus Van Sant , Joaquin Phoenix, Rooney Mara, Jonah Hill,Comedy  Drama
8,shock and awe,Rob Reiner , Woody Harrelson, Tommy Lee Jones, James Marsden,Drama  History  Thriller
9,mamma mia! here we go again,Ol Parker , Lily James, Amanda Seyfried, Pierce Brosnan,Comedy  Romance
10,the equalizer 2,Antoine Fuqua , Denzel Washington, Ashton Sanders, Pedro Pascal,Action  Thriller  Crime
11,blindspotting,Carlos López Estrada , Janina Gavankar, Ethan Embry, Daveed Diggs,Comedy  Drama
12,unfriended: dark web,Stephen Susco , Colin Woodell, Rebecca Rittenhouse, Betty Gabriel,Horror  Mystery  Thriller
13,bleach,Shinsuke Sato , Sota Fukushi, Hana Sugisaki,unknown,Action  Fantasy  Adventure
14,gauguin – voyage de tahiti,Édouard Deluc , Vincent Cassel, Tuheï Adams, Malik Zidi,Drama  Romance
15,mission: impossible – fallout,Christopher McQuarrie , Tom Cruise, Henry Cavill, Ving Rhames,Action  Adventure
16,teen titans go! to the movies,Peter Rida Michail , Scott Menville, Khary Payton, Tara Strong,Animation  Action  Comedy  Science Fiction
17,detective dee: the four heavenly kings,Tsui Hark ,Tsui Hark (director), Chang Chia-lu, Chen Kuo-Fu (screenplay),Mystery  Fantasy  Adventure  Action
18,hot summer nights,Elijah Bynum , Timothée Chalamet, Maika Monroe, Alex Roe,Drama  Comedy
19,puzzle,Marc Turtletaub , Kelly Macdonald, Irrfan Khan, David Denman,Drama
20,christopher robin,Marc Forster , Ewan McGregor, Hayley Atwell, Jim Cummings,Adventure  Comedy  Family  Fantasy
21,the darkest minds,Jennifer Yuh Nelson , Amandla Stenberg, Mandy Moore, Harris Dickinson,Science Fiction  Action  Drama  Romance  Adventure  Thriller
22,the spy who dumped me,Susanna Fogel , Mila Kunis, Kate McKinnon, Justin Theroux,Action  Comedy
23,the miseducation of cameron post,Desiree Akhavan , Chloë Grace Moretz, Sasha Lane, John Gallagher,Drama
24,never goin' back,Augustine Frizzell , Maia Mitchell, Camila Morrone, Kyle Mooney,Comedy
25,dog days,Ken Marino , Nina Dobrev, Finn Wolfhard, Vanessa Hudgens,Comedy  Romance  Drama
26,the meg,Jon Turteltaub , Jason Statham, Li Bingbing, Rainn Wilson,Action  Science Fiction  Horror
27,blackkklansman,Spike Lee , John David Washington, Adam Driver, Laura Harrier,Crime  Drama  History  Comedy
28,slender man,Sylvain White , Joey King, Julia Goldani Telles, Jaz Sinclair,Mystery  Thriller  Horror
29,a prayer before dawn,Jean-Stéphane Sauvaire , Joe Cole,unknown,unknown,Drama  Action  Crime
30,crazy rich asians,Jon M. Chu , Constance Wu, Henry Golding, Gemma Chan,Comedy  Drama  Romance
31,alpha,Albert Hughes , Kodi Smit-McPhee, Leonor Varela, Jens Hultén,Adventure  Drama
32,mile 22,Peter Berg , Mark Wahlberg, John Malkovich, Lauren Cohan,Action  Thriller
33,the wife,Björn Runge , Glenn Close, Jonathan Pryce, Christian Slater,Drama
34,billionaire boys club,James Cox , Ansel Elgort, Taron Egerton, Kevin Spacey,Drama  Thriller
35,"juliet, naked",Jesse Peretz , Ethan Hawke, Rose Byrne,unknown,Comedy  Drama  Romance
36,down a dark hall,Rodrigo Cortés , AnnaSophia Robb, Uma Thurman, Isabelle Fuhrman,Thriller  Drama  Fantasy  Horror
37,the happytime murders,Brian Henson , Melissa McCarthy, Maya Rudolph, Joel McHale,Action  Comedy  Crime
38,searching,Aneesh Chaganty , John Cho, Debra Messing,unknown,Thriller  Mystery  Drama
39,papillon,Michael Noer , Charlie Hunnam, Rami Malek,unknown,Drama  History  Crime
40,a.x.l.,Oliver Daly , Alex Neustaedter, Becky G, Alex MacNicoll,Science Fiction  Action  Adventure  Family
41,operation finale,Chris Weitz , Oscar Isaac, Ben Kingsley, Lior Raz,Drama  History  Thriller
42,kin,"Jonathan Baker, Josh Baker ", Myles Truitt, Jack Reynor, Zoë Kravitz,Science Fiction  Action
43,the little stranger,Lenny Abrahamson , Domhnall Gleeson, Ruth Wilson, Will Poulter,Mystery  Drama  Horror  History
44,destination wedding,Victor Levin , Winona Ryder, Keanu Reeves,unknown,Romance  Comedy  Drama
45,the nun,Corin Hardy , Demián Bichir, Taissa Farmiga, Jonas Bloquet,Horror  Mystery  Thriller
46,peppermint,Pierre Morel , Jennifer Garner, John Ortiz, Juan Pablo Raba,Action  Thriller
47,the predator,Shane Black , Boyd Holbrook, Trevante Rhodes, Jacob Tremblay,Science Fiction  Action  Thriller  Adventure  Horror  Comedy
48,white boy rick,Yann Demange , Matthew McConaughey, Richie Merritt, Bel Powley,Crime  Drama
49,a simple favor,Paul Feig , Anna Kendrick, Blake Lively, Henry Golding,Crime  Comedy  Mystery  Drama  Thriller
50,the children act,Richard Eyre , Emma Thompson, Stanley Tucci, Fionn Whitehead,Drama
51,lizzie,Craig William Macneill , Chloë Sevigny, Kristen Stewart, Jay Huguley,Crime  Drama  Thriller
52,unbroken: path to redemption,Harold Cronk , Samuel Hunt, Merritt Patterson, Vanessa Bell Calloway,Drama
53,hell house llc ii: the abaddon hotel,Stephen Cognetti , Vasile Flutur, Jillian Geurts, Joy Shatz,Horror
54,the house with a clock in its walls,Eli Roth , Jack Black, Cate Blanchett, Owen Vaccaro,Fantasy  Family  Comedy
55,life itself,Dan Fogelman , Oscar Isaac, Olivia Wilde, Mandy Patinkin,Documentary
56,the sisters brothers,Jacques Audiard , John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal,Western  Drama  Adventure
57,assassination nation,Sam Levinson , Odessa Young, Suki Waterhouse, Hari Nef,Thriller  Comedy  Horror
58,colette,Wash Westmoreland , Keira Knightley, Dominic West,unknown,Drama  History
59,fahrenheit 11/9,Michael Moore ,Michael Moore (director/screenplay),unknown,unknown,Documentary
60,my son,Christian Carion , Guillaume Canet, Melanie Laurent,unknown,Crime  Drama  Thriller
61,"love, gilda",Lisa Dapolito , Gilda Radner,unknown,unknown,Documentary
62,my hero academia: two heroes,Kenji Nagasaki , Justin Briner, Christopher R. Sabat, Clifford Chapin,Animation  Action  Comedy  Fantasy  Adventure
63,smallfoot,Karey Kirkpatrick , Channing Tatum, James Corden, Zendaya,Family  Animation  Adventure  Fantasy
64,night school,Malcolm D. Lee , Kevin Hart, Tiffany Haddish, Rob Riggle,Comedy
65,the old man & the gun,David Lowery , Robert Redford, Casey Affleck, Danny Glover,Comedy  Crime  Drama
66,hell fest,Gregory Plotkin , Bex Taylor-Klaus, Amy Forsyth, Reign Edwards,Horror
0,power of the air,Dave Christiano , Nicholas X. Parsons, Patty Duke, Michael Gross,
1,venom,Ruben Fleischer , Tom Hardy, Michelle Williams, Riz Ahmed,Science Fiction  Action
2,a star is born,Bradley Cooper , Bradley Cooper, Lady Gaga, Sam Elliott,Drama  Romance  Music
3,the hate u give,George Tillman Jr. , Amandla Stenberg, Regina Hall, Russell Hornsby,Crime  Drama
4,the happy prince,Rupert Everett , Rupert Everett, Colin Firth, Colin Morgan,Drama
5,first man,Damien Chazelle , Ryan Gosling, Claire Foy, Jason Clarke,History  Drama
6,bad times at the el royale,Drew Goddard , Jeff Bridges, Cynthia Erivo, Dakota Johnson,Thriller  Drama  Mystery  Crime
7,goosebumps 2: haunted halloween,Ari Sandel , Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor,Adventure  Comedy  Fantasy  Family  Horror
8,beautiful boy,Felix van Groeningen , Steve Carell, Timothée Chalamet, Maura Tierney,Drama
9,the oath,Ike Barinholtz , Ike Barinholtz, Tiffany Haddish, Nora Dunn,Comedy
10,gosnell: the trial of america's biggest serial killer,Nick Searcy , Earl Billings, Dean Cain, Sarah Jane Morris,Drama  Crime
11,after everything,Hannah Marks ,Hannah Marks (director), Joey Power (director), Jeremy Allen White,Comedy  Drama  Romance
12,halloween,David Gordon Green , Jamie Lee Curtis, Judy Greer, Andi Matichak,Animation  Family  Mystery  Comedy  Crime
13,can you ever forgive me?,Marielle Heller , Melissa McCarthy, Richard E. Grant,unknown,Drama  Crime  Comedy
14,mid90s,Jonah Hill , Sunny Suljic, Lucas Hedges, Katherine Waterston,Drama
15,wildlife,Paul Dano , Carey Mulligan, Jake Gyllenhaal, Ed Oxenbould,Drama
16,what they had,Elizabeth Chomko , Hilary Swank, Michael Shannon, Robert Forster,Drama
