,title,director,actor1,actor2,actor3,genres
5,wrinkles the clown,Michael Beach Nichols , Michael Beach Nichols, Christopher K. Walker (screenplay),unknown,Documentary
6,little monsters,Abe Forsythe , Lupita Nyong'o, Alexander England, Josh Gad,Adventure  Fantasy  Comedy  Family
7,gemini man,Ang Lee , Will Smith, Mary Elizabeth Winstead, Clive Owen,Science Fiction  Action  Drama  Thriller
8,the addams family,"Conrad Vernon, Greg Tiernan ", Oscar Isaac, Charlize Theron, Chloë Grace Moretz,Family  Animation  Comedy  Fantasy
9,the king,David Michôd , Timothée Chalamet, Joel Edgerton, Sean Harris,Drama  History  War
10,jexi,unknown, Adam Devine, Rose Byrne, Alexandra Shipp,Comedy
11,el camino: a breaking bad movie,Vince Gilligan , Aaron Paul, Jesse Plemons, Scott MacArthur,Crime  Drama  Thriller  Action
12,maleficent: mistress of evil,Joachim Rønning , Angelina Jolie, Elle Fanning, Michelle Pfeiffer,Family  Fantasy  Adventure
13,zombieland: double tap,Ruben Fleischer , Woody Harrelson, Jesse Eisenberg, Emma Stone,Horror  Action  Comedy
14,jojo rabbit,Taika Waititi , Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson,Comedy  War  Drama
15,the lighthouse,Robert Eggers , Willem Dafoe, Robert Pattinson,unknown,Drama  Fantasy  Thriller  Horror
16,wounds,Babak Anvari , Armie Hammer, Dakota Johnson, Zazie Beetz,Action  Crime  Thriller
17,black and blue,Deon Taylor , Naomie Harris, Tyrese Gibson, Frank Grillo,Action  Thriller
18,the current war,Alfonso Gomez-Rejon , Benedict Cumberbatch, Michael Shannon, Katherine Waterston,Drama  History
19,countdown,Justin Dec , Elizabeth Lail, Peter Facinelli, Anne Winters,Horror  Thriller
20,the kill team,Dan Krauss , Nat Wolff, Alexander Skarsgård,unknown,Drama  Action  Thriller
21,the gallows act ii,"Chris Lofing, Travis Cluff ", Chris Milligan, Ema Horvath, Brittany Falardeau,Horror  Thriller
22,terminator: dark fate,Tim Miller , Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis,Action  Adventure  Science Fiction
23,motherless brooklyn,Edward Norton , Edward Norton, Bruce Willis, Gugu Mbatha-Raw,Drama  Thriller
24,the irishman,Martin Scorsese , Robert De Niro, Al Pacino, Joe Pesci,Crime  Drama  History
25,harriet,Kasi Lemmons , Cynthia Erivo, Leslie Odom Jr., Joe Alwyn,History  Drama
26,arctic dogs,Aaron Woodley , Jeremy Renner, James Franco, Heidi Klum,Animation  Adventure  Comedy
27,marriage story,Noah Baumbach , Scarlett Johansson, Adam Driver, Laura Dern,Drama
28,doctor sleep,Mike Flanagan , Ewan McGregor, Rebecca Ferguson, Kyliegh Curran,Horror  Drama  Fantasy  Thriller
29,last christmas,Paul Feig , Emilia Clarke, Henry Golding, Michelle Yeoh,Comedy  Romance  Drama
30,playing with fire,Andy Fickman , John Cena, Keegan-Michael Key, John Leguizamo,Comedy  Family
31,let it snow,Luke Snellin , Isabela Merced, Shameik Moore, Kiernan Shipka,Romance  Comedy
32,midway,Roland Emmerich , Ed Skrein, Patrick Wilson, Luke Evans,War  History  Action  Drama
33,klaus,Sergio Pablos , J. K. Simmons, Jason Schwartzman, Rashida Jones,Animation  Family  Adventure  Comedy
34,honey boy,Alma Har'el , Shia LaBeouf, Lucas Hedges, Noah Jupe,Drama
35,lady and the tramp,Charlie Bean , Tessa Thompson, Justin Theroux, Kiersey Clemons,Family  Animation  Romance
36,noelle,Marc Lawrence , Anna Kendrick, Bill Hader, Kingsley Ben-Adir,Drama
37,ford v ferrari,James Mangold , Matt Damon, Christian Bale, Jon Bernthal,Drama  Action  History
38,charlie's angels,Elizabeth Banks , Kristen Stewart, Naomi Scott, Ella Balinska,Action  Adventure  Comedy
39,the good liar,Bill Condon , Ian McKellen, Helen Mirren, Russell Tovey,Drama  Mystery  Crime
40,the report,Scott Z. Burns , Adam Driver, Annette Bening, Ted Levine,Drama  Thriller
41,waves,Trey Edward Shults , Kelvin Harrison Jr., Lucas Hedges, Taylor Russell,Romance  Drama
42,frozen ii,"Chris Buck, Jennifer Lee ", Idina Menzel, Kristen Bell, Jonathan Groff,Family  Animation  Adventure  Comedy  Fantasy  Music
43,a beautiful day in the neighborhood,Marielle Heller , Tom Hanks, Matthew Rhys, Susan Kelechi Watson,Drama
44,21 bridges,Brian Kirk , Chadwick Boseman, Sienna Miller, Stephan James,Crime  Action  Drama
45,dark waters,Todd Haynes , Mark Ruffalo, Anne Hathaway, Tim Robbins,Drama  Thriller  History
46,knives out,Rian Johnson , Daniel Craig, Chris Evans, Ana de Armas,Comedy  Crime  Drama
47,queen & slim,Melina Matsoukas , Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine,Drama  Romance  Crime
48,the two popes,Fernando Meirelles , Anthony Hopkins, Jonathan Pryce,unknown,Drama  Comedy  History
49,playmobil: the movie,Lino DiSalvo , Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman,Family  Animation  Comedy  Adventure
50,the aeronauts,Tom Harper , Felicity Jones, Eddie Redmayne, Himesh Patel,Adventure  Drama  Romance
51,a million little pieces,Sam Taylor-Johnson , Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young,Drama
52,daniel isn't real,Adam Egypt Mortimer , Miles Robbins, Patrick Schwarzenegger, Sasha Lane,Fantasy  Horror  Mystery  Thriller
53,jumanji: the next level,Jake Kasdan , Dwayne Johnson, Jack Black, Kevin Hart,Adventure  Comedy  Fantasy
54,richard jewell,Clint Eastwood , Paul Walter Hauser, Sam Rockwell, Kathy Bates,Drama  History  Crime
55,black christmas,Sophia Takal , Imogen Poots, Lily Donoghue, Aleyse Shannon,Horror  Thriller
56,6 underground,Michael Bay , Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo,Action  Thriller
57,bombshell,Jay Roach , Charlize Theron, Nicole Kidman, Margot Robbie,Drama  History
58,uncut gems,unknown, Adam Sandler, Lakeith Stanfield, Julia Fox,Crime  Thriller  Drama
59,seberg,Benedict Andrews , Kristen Stewart, Jack O'Connell, Margaret Qualley,Thriller  Drama
60,a hidden life,Terrence Malick , August Diehl, Valerie Pachner, Matthias Schoenaerts,Drama  War  History
61,star wars: the rise of skywalker,J. J. Abrams , Carrie Fisher, Mark Hamill, Adam Driver,Action  Adventure  Science Fiction
62,cats,Tom Hooper , James Corden, Judi Dench, Jason Derulo,Fantasy  Comedy  Drama
63,togo,Ericson Core , Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl,Adventure  Family
64,spies in disguise,"Nick Bruno, Troy Quane ", Will Smith, Tom Holland, Rashida Jones,Animation  Action  Adventure  Comedy  Family
65,little women,Greta Gerwig , Saoirse Ronan, Emma Watson, Florence Pugh,Drama  Romance
66,1917,Sam Mendes , George MacKay, Dean-Charles Chapman, Mark Strong,War  Drama  Action  Thriller
67,just mercy,Destin Daniel Cretton , Michael B. Jordan, Jamie Foxx, Brie Larson,Drama  Crime  History
68,clemency,Chinonye Chukwu , Alfre Woodard, Wendell Pierce, Aldis Hodge,Drama
0,the grudge,Nicolas Pesce , Andrea Riseborough, Demián Bichir, John Cho,Horror  Mystery  Thriller
1,underwater,William Eubank , Kristen Stewart, Vincent Cassel, Jessica Henwick,Action  Horror  Science Fiction  Thriller
2,like a boss,Miguel Arteta , Tiffany Haddish, Rose Byrne, Salma Hayek,Comedy
3,three christs,Jon Avnet , Richard Gere, Peter Dinklage, Walton Goggins,Drama
4,inherit the viper,Anthony Jerjen , Josh Hartnett, Margarita Levieva, Chandler Riggs,Drama  Thriller  Crime
5,the sonata,Andrew Desmond , Freya Tingley, Simon Abkarian, Rutger Hauer,Horror  Thriller  Mystery
6,the murder of nicole brown simpson,Daniel Farrands , Mena Suvari, Nick Stahl, Taryn Manning,Thriller  Drama  Crime
7,bad boys for life,Adil El Arbi and Bilall Fallah , Will Smith, Martin Lawrence, Vanessa Hudgens,Thriller  Action  Crime
8,dolittle,Stephen Gaghan , Robert Downey Jr., Antonio Banderas, Michael Sheen,Family  Fantasy  Adventure
9,a fall from grace,Tyler Perry , Crystal R. Fox, Phylicia Rashad, Bresha Webb,Thriller
10,the gentlemen,Guy Ritchie , Matthew McConaughey, Charlie Hunnam, Henry Golding,Action  Crime  Comedy
11,the turning,Floria Sigismondi , Mackenzie Davis, Finn Wolfhard, Brooklynn Prince,Horror  Thriller
12,the last full measure,Todd Robinson , Sebastian Stan, Christopher Plummer, William Hurt,War  Drama
13,the night house,David Bruckner , Rebecca Hall, Sarah Goldberg, Stacy Martin,Horror  Thriller
14,john henry,Will Forbes , Terry Crews, Ludacris, Jamila Velazquez,Drama  Thriller
15,the rhythm section,Reed Morano , Blake Lively, Jude Law, Sterling K. Brown,Action  Thriller
16,gretel & hansel,Oz Perkins , Sophia Lillis, Sammy Leakey, Charles Babalola,Horror  Fantasy  Thriller
17,the assistant,Kitty Green , Julia Garner, Matthew Macfadyen,unknown,Drama
18,birds of prey,Cathy Yan , Margot Robbie, Mary Elizabeth Winstead, Jurnee Smollett-Bell,Action  Crime
19,the lodge,unknown, Riley Keough, Jaeden Martell, Lia McHugh,Drama  Horror  Thriller
20,timmy failure: mistakes were made,Tom McCarthy , Winslow Fegley, Ophelia Lovibond, Craig Robinson,Family  Mystery  Comedy  Fantasy
21,horse girl,Jeff Baena , Alison Brie, Debby Ryan, John Paul Reynolds,Drama
22,to all the boys: p.s. i still love you,Michael Fimognari , Lana Condor, Noah Centineo, Jordan Fisher,Romance  Comedy
23,sonic the hedgehog,Jeff Fowler , James Marsden, Ben Schwartz, Tika Sumpter,Action  Science Fiction  Comedy  Family
24,fantasy island,Jeff Wadlow , Michael Peña, Maggie Q, Lucy Hale,Adventure  Fantasy  Horror  Mystery
25,the photograph,Stella Meghie , Issa Rae, Lakeith Stanfield, Chelsea Peretti,Drama  Romance
26,downhill,"Nat Faxon, Jim Rash ", Julia Louis-Dreyfus, Will Ferrell, Miranda Otto,Drama  Comedy
27,spy intervention,Drew Mylrea , Drew Van Acker, Poppy Delevingne, Natasha Bassett,Action  Adventure  Comedy
28,the kindness of strangers,Lone Scherfig , Andrea Riseborough, Tahar Rahim, Zoe Kazan,Drama
29,the call of the wild,Chris Sanders , Harrison Ford, Dan Stevens, Omar Sy,Drama  Adventure  Family
30,the last thing he wanted,unknown, Anne Hathaway, Ben Affleck, Rosie Perez,Drama  Thriller
31,brahms: the boy ii,William Brent Bell , Katie Holmes, Owain Yeoman, Christopher Convery,Horror  Mystery  Thriller
32,the night clerk,Michael Cristofer , Tye Sheridan, Ana de Armas, Helen Hunt,Crime  Drama  Thriller
33,impractical jokers: the movie,Chris Henchy , Brian Quinn, Joe Gatto, Sal Vulcano,Comedy
34,the invisible man,Leigh Whannell , Elisabeth Moss, Aldis Hodge, Storm Reid,Thriller  Science Fiction  Horror
35,all the bright places,Brett Haley , Elle Fanning, Justice Smith, Alexandra Shipp,Drama  Romance
36,wendy,Benh Zeitlin , Tommie Lynn Milazzo, Shay Walker,unknown,Fantasy  Adventure  Family
37,guns akimbo,Jason Lei Howden , Daniel Radcliffe, Samara Weaving, Natasha Liu Bordizzo,Comedy  Action
38,onward,Dan Scanlon , Tom Holland, Chris Pratt, Julia Louis-Dreyfus,Animation  Family  Adventure  Comedy  Fantasy
39,the way back,Gavin O'Connor , Ben Affleck, Al Madrigal, Michaela Watkins,Drama
40,spenser confidential,Peter Berg , Mark Wahlberg, Winston Duke, Alan Arkin,Comedy  Action  Thriller
41,the banker,George Nolfi , Anthony Mackie, Nicholas Hoult, Nia Long,Drama
42,the burnt orange heresy,Giuseppe Capotondi , Claes Bang, Elizabeth Debicki, Mick Jagger,Thriller  Drama  Mystery
43,swallow,Carlo Mirabella-Davis , Haley Bennett, Austin Stowell, Elizabeth Marvel,Drama  Thriller  Horror
44,first cow,Kelly Reichardt , John Magaro, Orion Hall, René Auberjonois,Drama  Western  History
45,bloodshot,Dave S. F. Wilson , Vin Diesel, Eiza González, Sam Heughan,Action
46,the hunt,Craig Zobel , Betty Gilpin, Ike Barinholtz, Amy Madigan,Action  Thriller  Horror
47,i still believe,Erwin Brothers , KJ Apa, Britt Robertson, Shania Twain,Music  Drama
48,lost girls,Liz Garbus , Amy Ryan, Thomasin McKenzie, Lola Kirke,Drama  Mystery  Thriller  History
49,stargirl,Julia Hart , Grace VanderWaal, Graham Verchere, Giancarlo Esposito,Comedy  Drama  Romance
50,the roads not taken,Sally Potter , Javier Bardem, Elle Fanning, Laura Linney,Drama
51,never rarely sometimes always,Eliza Hittman , Sidney Flanigan, Talia Ryder, Theodore Pellerin,Drama
52,big time adolescence,Jason Orley , Pete Davidson, Griffin Gluck, Jon Cryer,Comedy
53,lost transmissions,Katharine O'Brien , Simon Pegg, Juno Temple, Alexandra Daddario,Drama
54,resistance,Jonathan Jakubowicz , Jesse Eisenberg, Ed Harris, Clémence Poésy,War  History  Drama
55,uncorked,Prentice Penny , Mamoudou Athie, Courtney B. Vance, Niecy Nash,Drama  Comedy
56,vivarium,Lorcan Finnegan , Imogen Poots, Jesse Eisenberg,unknown,Science Fiction  Horror  Mystery
0,coffee & kareem,Michael Dowse , Ed Helms, Taraji P. Henson, Betty Gilpin,Comedy  Action  Crime
1,trolls world tour,Walt Dohrn , Anna Kendrick, Justin Timberlake, Rachel Bloom,Animation  Family  Comedy  Fantasy  Adventure  Music
2,love wedding repeat,Dean Craig , Olivia Munn, Sam Claflin, Freida Pinto,Comedy  Romance
3,the main event,Jay Karas , Seth Carr, Tichina Arnold, Ken Marino,Family  Comedy
4,we summon the darkness,Marc Meyers , Alexandra Daddario, Keean Johnson, Logan Miller,Horror  Thriller
5,the lost husband,Vicky Wight , Leslie Bibb, Josh Duhamel, Nora Dunn,Romance  Drama
6,corona zombies,Charles Band , Cody Renee Cameron, Russell Coker, Robin Sydney,Horror  Comedy
7,sergio,Greg Barker , Wagner Moura, Ana de Armas, Garret Dillahunt,Drama
8,the willoughbys,Kris Pearn , Will Forte, Maya Rudolph, Alessia Cara,Animation  Comedy  Family
9,extraction,Sam Hargrave , Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda,Drama  Action  Thriller
10,braking for whales,Sean McEwen , Tom Felton, Tammin Sursok, Wendi McLendon-Covey,Drama  Comedy
11,bad education,Cory Finley , Hugh Jackman, Allison Janney, Geraldine Viswanathan,Drama  Crime  History  TV Movie
12,dangerous lies,Michael Scott , Camila Mendes, Jessie T. Usher, Jamie Chung,Thriller
13,all day and a night,Joe Robert Cole , Ashton Sanders, Jeffrey Wright, Yahya Abdul-Mateen II,Drama
14,the wretched,The Pierce Brothers , John-Paul Howard, Piper Curda, Zarah Mahler,Horror
15,the half of it,Alice Wu , Leah Lewis, Daniel Diemer, Alexxis Lemire,Comedy  Romance
16,arkansas,Clark Duke , Liam Hemsworth, Clark Duke, Michael Kenneth Williams,Crime
17,valley girl,Rachel Lee Goldenberg , Jessica Rothe, Josh Whitehouse, Mae Whitman,Comedy  Romance
18,capone,Josh Trank , Tom Hardy, Linda Cardellini, Jack Lowden,Crime  Drama
19,the wrong missy,Tyler Spindel , David Spade, Lauren Lapkus, Geoff Pierson,Comedy  Romance
20,scoob!,Tony Cervone , Will Forte, Mark Wahlberg, Jason Isaacs,Family  Animation  Comedy  Adventure
21,blood and money,John Barr , Tom Berenger, Kristen Hager, Mark Sivertsen,
22,body cam,Malik Vitthal , Mary J. Blige, Nat Wolff, David Zayas,Horror  Thriller  Mystery
23,the lovebirds,Michael Showalter , Issa Rae, Kumail Nanjiani, Paul Sparks,Action  Comedy  Romance
24,inheritance,Vaughn Stein , Lily Collins, Simon Pegg, Chace Crawford,Thriller
25,survive the night,Matt Eskandari , Bruce Willis, Chad Michael Murray,unknown,Action  Thriller
26,the high note,Nisha Ganatra , Dakota Johnson, Tracee Ellis Ross, Kelvin Harrison Jr.,Romance  Comedy  Music  Drama
27,shirley,Josephine Decker , Elisabeth Moss, Michael Stuhlbarg, Odessa Young,Drama  Thriller  Mystery
28,the last days of american crime,Olivier Megaton , Édgar Ramírez, Anna Brewster, Michael Pitt,Action  Crime  Thriller
29,becky,"Jonathan Milott, Cary Murnion ", Lulu Wilson, Kevin James, Joel McHale,Horror  Crime  Thriller
30,think like a dog,Gil Junger , Josh Duhamel, Megan Fox,unknown,Family  Comedy  Drama
31,artemis fowl,Kenneth Branagh , Ferdia Shaw, Lara McDonnell, Josh Gad,Adventure  Fantasy  Science Fiction  Family  Action
32,da 5 bloods,Spike Lee , Delroy Lindo, Jonathan Majors, Clarke Peters,War  Drama
33,the king of staten island,Judd Apatow , Pete Davidson, Marisa Tomei, Bill Burr,Comedy  Drama
34,sniper: assassin's end,Kaare Andrews , Chad Michael Collins, Tom Berenger, Sayaka Akimoto,Action
35,you should have left,David Koepp , Kevin Bacon, Amanda Seyfried,unknown,Horror  Mystery  Drama  Thriller
36,wasp network,Olivier Assayas , Penélope Cruz, Édgar Ramírez, Gael García Bernal,Drama  History  Thriller
37,feel the beat,Elissa Down , Sofia Carson, Enrico Colantoni, Wolfgang Novogratz,Comedy  Music  Drama
38,7500,Patrick Vollrath , Joseph Gordon-Levitt,unknown,unknown,Action  Drama  Thriller
39,athlete a,"Bonni Cohen, Jon Shenk ",Bonni Cohen, Jon Shenk (director),unknown,Documentary
40,eurovision song contest: the story of fire saga,David Dobkin , Will Ferrell, Rachel McAdams, Dan Stevens,Comedy  Music
41,irresistible,Jon Stewart , Steve Carell, Chris Cooper, Mackenzie Davis,Comedy  Drama
42,my spy,Peter Segal , Dave Bautista, Chloe Coleman, Kristen Schaal,Family  Action  Comedy
0,hamilton,Thomas Kail , Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.,History  Music  Drama
1,relic,Natalie Erika James , Emily Mortimer, Robyn Nevin, Bella Heathcote,Horror  Drama  Mystery  Thriller
2,desperados,LP , Anna Camp, Robbie Amell, Nasim Pedrad,Comedy  Romance
3,the old guard,Gina Prince-Bythewood , Charlize Theron, KiKi Layne, Marwan Kenzari,Action  Fantasy
4,greyhound,Aaron Schneider , Tom Hanks, Stephen Graham, Rob Morgan,War  Action  Drama
5,palm springs,Max Barbakow , Andy Samberg, Cristin Milioti, Peter Gallagher,Comedy  Romance  Fantasy  Mystery  Science Fiction
6,fatal affair,Peter Sullivan , Nia Long, Omar Epps, Stephen Bishop,Thriller
7,the silencing,Robin Pront , Annabelle Wallis, Hero Fiennes-Tiffin, Nikolaj Coster-Waldau,Action  Crime  Thriller
8,a nice girl like you,The Brothers Riedell , Lucy Hale, Leonidas Gulaptis, Jackie Cruz,Comedy  Romance
9,ghosts of war,Eric Bress , Brenton Thwaites, Theo Rossi, Skylar Astin,Horror  Thriller  War  Fantasy
10,animal crackers,"Scott Christian Sava, Tony Bancroft ", John Krasinski, Emily Blunt, Ian McKellen,Comedy  Animation  Adventure
11,the kissing booth 2,Vince Marcello , Joey King, Joel Courtney, Jacob Elordi,Comedy  Romance
12,the rental,Dave Franco , Dan Stevens, Alison Brie, Sheila Vand,Horror  Thriller
13,deep blue sea 3,John Pogue , Tania Raymonde, Nathaniel Buzolic, Emerson Brooks,Action  Horror  Science Fiction
14,black is king,"Beyoncé, Emmanuel Adjei, Blitz Bazawule, Ibra Ake, Jenn Nkiru, Jake Nava, Pierre Debusschere, Dikayl Rimmasch ", Beyoncé,unknown,unknown,Music
15,the secret: dare to dream,Andy Tennant , Katie Holmes, Josh Lucas, Jerry O'Connell,Drama  Romance
16,summerland,Jessica Swale , Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton,Drama  War  Romance
17,she dies tomorrow,Amy Seimetz , Kate Lyn Sheil, Jane Adams, Kentucker Audley,Drama
18,an american pickle,Brandon Trost , Seth Rogen, Sarah Snook,unknown,Comedy
19,the tax collector,David Ayer , Bobby Soto, Shia LaBeouf, Cinthya Carmona,Action  Crime  Drama
20,waiting for the barbarians,Ciro Guerra , Mark Rylance, Johnny Depp, Robert Pattinson,Drama
21,project power,"Henry Joost, Ariel Schulman ", Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback,Action  Crime  Science Fiction
22,magic camp,Mark Waters , Adam DeVine, Gillian Jacobs, Jeffrey Tambor,Comedy  Family  Fantasy
23,boys state,"Amanda McBaine, Jesse Moss ",Amanda McBaine, Jesse Moss (directors),unknown,Documentary
24,spree,Eugene Kotlyarenko , Joe Keery, Sasheer Zamata, Mischa Barton,Comedy  Crime  Horror  Thriller
25,the one and only ivan,Thea Sharrock , Sam Rockwell, Angelina Jolie, Danny DeVito,Family  Comedy  Drama
26,unhinged,Derrick Borte , Russell Crowe, Caren Pistorius, Gabriel Bateman,Action  Thriller
27,tesla,Michael Almereyda , Ethan Hawke, Eve Hewson, Ebon Moss-Bachrach,History  Drama
28,cut throat city,RZA , Shameik Moore, T.I., Demetrius Shipp Jr.,Action  Crime  Drama  Thriller
29,words on bathroom walls,Thor Freudenthal , Charlie Plummer, Andy García, Taylor Russell,Drama  Romance
30,hard kill,Matt Eskandari , Jesse Metcalfe, Bruce Willis,unknown,Action  Thriller
31,chemical hearts,unknown,Richard Tanne (director/sceenplay); Austin Abrams, Lili Reinhart,unknown,Drama  Romance
32,tenet,Christopher Nolan , John David Washington, Robert Pattinson, Elizabeth Debicki,Action  Thriller  Science Fiction
33,bill & ted face the music,Dean Parisot , Keanu Reeves, Alex Winter, Kristen Schaal,Comedy  Science Fiction  Adventure
34,the new mutants,Josh Boone , Maisie Williams, Anya Taylor-Joy, Charlie Heaton,Action  Horror  Science Fiction
35,the personal history of david copperfield,Armando Iannucci , Dev Patel, Aneurin Barnard, Peter Capaldi,Drama  Comedy
36,i'm thinking of ending things,Charlie Kaufman , Jesse Plemons, Jessie Buckley, Toni Collette,Drama  Thriller
37,phineas and ferb the movie: candace against the universe,Bob Bowen , Vincent Martella, Ashley Tisdale, David Errigo Jr.,Animation  Science Fiction  Comedy  Music  Family  Adventure  TV Movie
38,all together now,Brett Haley , Auliʻi Cravalho, Rhenzy Feliz, Judy Reyes,Drama
39,rogue,M. J. Bassett , Megan Fox, Philip Winchester,unknown,Action  Adventure
40,centigrade,Brendan Walsh , Genesis Rodriguez, Vincent Piazza, Louis Cancelmi,Thriller
41,the binge,Jeremy Garelick , Skyler Gisondo, Eduardo Franco, Dexter Darden,Comedy
42,"love, guaranteed",Mark Steven Johnson , Rachael Leigh Cook, Damon Wayans Jr.,unknown,Romance  Comedy
43,mulan,Niki Caro , Liu Yifei, Donnie Yen, Tzi Ma,Adventure  Fantasy
44,critical thinking,John Leguizamo , John Leguizamo, Jorge Lendeborg Jr., Angel Bismark Curiel,Drama
45,the owners,Julius Berg , Maisie Williams, Sylvester McCoy, Rita Tushingham,Thriller  Horror
46,guest house,Sam Macaroni , Pauly Shore, Mike Castle, Aimee Teegarden,Comedy
47,the babysitter: killer queen,McG , Judah Lewis, Emily Alyn Lind, Jenna Ortega,Comedy  Horror
48,unpregnant,Rachel Lee Goldenberg , Haley Lu Richardson, Barbie Ferreira, Alex MacNicoll,Drama  Comedy
49,the devil all the time,Antonio Campos , Tom Holland, Bill Skarsgård, Riley Keough,Crime  Drama  Thriller
50,the broken hearts gallery,Natalie Krinsky , Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar,Comedy  Romance
51,i met a girl,Luke Eve , Brenton Thwaites, Lily Sullivan, Joel Jackson,Comedy  Drama  Romance
52,rent-a-pal,Jon Stevenson , Wil Wheaton, Brian Landis Folkins, Kathleen Brady,Horror  Thriller
53,cats & dogs 3: paws unite!,Sean McNamara , Melissa Rauch, Max Greenfield, George Lopez,Comedy  Action
54,the secrets we keep,Yuval Adler , Noomi Rapace, Joel Kinnaman, Chris Messina,Thriller
55,antebellum,unknown, Janelle Monáe, Eric Lange, Jena Malone,Horror
56,the nest,Sean Durkin , Jude Law, Carrie Coon, Charlie Shotwell,Drama  Romance
57,blackbird,Roger Michell , Susan Sarandon, Kate Winslet, Mia Wasikowska,Drama
58,lost girls & love hotels,William Olsson , Alexandra Daddario, Takehiro Hira, Carice van Houten,Drama
59,killian & the comeback kids,Taylor A. Purdee , Taylor A. Purdee, John Donchak, Nathan Purdee,
60,enola holmes,Harry Bradbeer , Millie Bobby Brown, Henry Cavill, Sam Claflin,Crime  Drama  Mystery
61,the trial of the chicago 7,Aaron Sorkin , Yahya Abdul-Mateen II, Sacha Baron Cohen, Danny Flaherty,Drama  History  Thriller
62,ava,Tate Taylor , Jessica Chastain, John Malkovich, Common,Action  Crime  Drama  Thriller
63,kajillionaire,Miranda July , Evan Rachel Wood, Richard Jenkins, Debra Winger,Crime  Drama  Comedy
64,the last shift,Andrew Cohn , Richard Jenkins, Shane Paul McGhie, Da'Vine Joy Randolph,Comedy  Drama
65,secret society of second-born royals,Anna Mastro , Peyton Elizabeth Lee, Skylar Astin, Élodie Yung,Action  Adventure  Comedy  Fantasy
66,she's in portland,Marc Carlini , Tommy Dewey, François Arnaud, Minka Kelly,Comedy  Drama
67,sightless,Cooper Karl , Madelaine Petsch, Alexander Koch,unknown,Thriller
68,the boys in the band,Joe Mantello , Jim Parsons, Zachary Quinto, Matt Bomer,Drama
69,the glorias,Julie Taymor , Julianne Moore, Alicia Vikander, Timothy Hutton,Drama
